Nombre,Descripción,Imagen
Lápiz,Para escribir o dibujar,https://images.unsplash.com/photo-1515378791036-0648a3ef77b2
Bolígrafo,Instrumento de escritura de tinta,https://images.unsplash.com/photo-1506744038136-46273834b3fb
Cuaderno,Para tomar notas,https://images.unsplash.com/photo-1464983953574-0892a716854b
Grapadora,Para unir hojas,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Tijeras,Para cortar papel,https://images.unsplash.com/photo-1516979187457-637abb4f9353
Regla,Para medir,https://images.unsplash.com/photo-1509228468518-180dd4864904
Carpeta,Para archivar documentos,https://images.unsplash.com/photo-1515168833906-d2a3b82b1a48
Post-it,Notas adhesivas,https://images.unsplash.com/photo-1503676382389-4809596d5290
Corrector,Para corregir errores de tinta,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Cinta adhesiva,Para pegar papeles,https://images.unsplash.com/photo-1465101046530-73398c7f28ca
Archivador,Para guardar documentos,https://images.unsplash.com/photo-1515168833906-d2a3b82b1a48
Calculadora,Para operaciones matemáticas,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Silla de oficina,Para sentarse cómodamente,https://images.unsplash.com/photo-1519125323398-675f0ddb6308
Mesa de escritorio,Superficie de trabajo,https://images.unsplash.com/photo-1465101178521-c1a9136a3b99
Lámpara de escritorio,Iluminación,https://images.unsplash.com/photo-1465101046530-73398c7f28ca
